фсб - uah => -22921955,usd=>249200, eur=>0 
азов - uah => 95500,usd=>0, eur=>0 
рко сигма - uah => -94589.92,usd=>0, eur=>0 
софья - uah => -92000,usd=>0, eur=>0 
филин - uah => 78043,usd=>-9099.04, eur=>0 
файна - uah => 81880,usd=>0, eur=>0 
атриум - uah => -69000,usd=>-6807.53999999999, eur=>0 
андр моск - uah => -57364,usd=>-16300, eur=>0 
шарпей - uah => -70018,usd=>0, eur=>0 
миша вал - uah => 0,usd=>-66258.93, eur=>0 
самойл транзит - uah => -62143.6,usd=>0, eur=>0 
Алина - uah => 54108,usd=>0, eur=>0 
амр - uah => 51505.27,usd=>0, eur=>0 
метком - uah => 50871.34,usd=>0, eur=>0 
овен - uah => 50000,usd=>0, eur=>0 
хм - uah => 0,usd=>46072.55, eur=>0 
растения - uah => 44969,usd=>0, eur=>0 
тандем - uah => 32442.63,usd=>-9927.19, eur=>3.31 
олег - uah => -40296.72,usd=>0, eur=>0 
егоров - uah => -40000,usd=>0, eur=>0 
вв приходы  - uah => -37618.01,usd=>0, eur=>0 
снежинка - uah => 36483,usd=>0, eur=>0 
обмен - uah => 10168.16,usd=>-15010, eur=>10000 
попов - uah => -34667.99,usd=>0, eur=>0 
аа - uah => -29560.47,usd=>4420, eur=>0 
игорь павл приходы  - uah => 33572.94,usd=>0, eur=>0 
слава 2009 - uah => 0,usd=>-33500, eur=>0 
сущ - uah => 33463.39,usd=>0, eur=>0 
ванда - uah => -31234.75,usd=>0, eur=>0 
расч - uah => 31109.5,usd=>0, eur=>0 
артем - uah => 30857.53,usd=>0, eur=>0 
проплата - uah => 0,usd=>30600, eur=>0 
митра - uah => -29943.16,usd=>0, eur=>0 
ира АУБ приходы  - uah => 28046.33,usd=>0, eur=>0 
дима восток - uah => 27023,usd=>0, eur=>0 
андр от лены - uah => 22284.42,usd=>2161.61, eur=>0 
лена бат1 - uah => -23755.21,usd=>105, eur=>0 
надя расчет - uah => -23827.65,usd=>0, eur=>0 
бт приходы  - uah => 23378.27,usd=>0, eur=>0 
света юля - uah => 22782.13,usd=>0, eur=>360 
света кучер - uah => 22814.14,usd=>0, eur=>0 
мицык - uah => -22310,usd=>0, eur=>0 
эдик от зельд - uah => 0.03,usd=>22195.11, eur=>0 
андрей киев - uah => 20433,usd=>0, eur=>0 
оля корч - uah => 20285.17,usd=>0, eur=>0 
рко - uah => -20113.52,usd=>0, eur=>0 
пиф депозиты - uah => -20000,usd=>0, eur=>0 
андрей валя - uah => 0,usd=>18172, eur=>0 
таня ятус - uah => 18131.08,usd=>0, eur=>0 
вест рома - uah => -17814,usd=>0, eur=>0 
якуб - uah => -16996,usd=>0, eur=>0 
лифш - uah => 16460.82,usd=>0, eur=>0 
славик-киев приходы - uah => 16135.64,usd=>0, eur=>0 
птичка грн - uah => -14834.68,usd=>0, eur=>0 
ес - uah => 0,usd=>13900, eur=>0 
колос - uah => -13277.36,usd=>0, eur=>0 
стратегия - uah => -13105.01,usd=>0, eur=>0 
март - uah => -12397.01,usd=>0, eur=>0 
мери - uah => -7916.88,usd=>0, eur=>3686.02 
гена майя - uah => -11504.4,usd=>0, eur=>0 
навигаторы - uah => 0,usd=>0, eur=>11390 
витал грн - uah => 10944.9,usd=>0, eur=>0 
ксюха - uah => 10600,usd=>0, eur=>0 
общежитие победа - uah => 10100,usd=>0, eur=>0 
шрубик - uah => 10000,usd=>0, eur=>0 
тихо - uah => 2699.83,usd=>6699.99, eur=>0 
радуга - uah => -9108,usd=>0, eur=>0 
рома валя - uah => 0,usd=>0, eur=>8675 
андрон - uah => 8475.71,usd=>0, eur=>0 
астарта - uah => -8000.35,usd=>0, eur=>0 
ярослав - uah => 8000,usd=>0, eur=>0 
андр бмв - uah => 7664.81,usd=>0, eur=>0 
самс - uah => 0,usd=>-7266.99, eur=>0 
папа - uah => 6860,usd=>0, eur=>0 
цветы - uah => -6692,usd=>0, eur=>0 
радионов приходы - uah => -6493.31,usd=>0, eur=>0 
земля львов - uah => 2186,usd=>4167, eur=>0 
стрижак лена - uah => 6167.45,usd=>0, eur=>0 
вв - uah => -6084,usd=>0, eur=>0 
валер григ - uah => 6000,usd=>0, eur=>0 
мих самс - uah => 0,usd=>5910.08, eur=>0 
риша - uah => 5898.88,usd=>0, eur=>0 
земля киев2 - uah => -2500,usd=>-3280, eur=>0 
король - uah => -5536.48,usd=>0, eur=>0 
пит грн - uah => 5227.66,usd=>0, eur=>0 
рома - uah => 5047.24,usd=>0, eur=>0 
иг дн-ск - uah => 4885.01,usd=>0, eur=>0 
тощ - uah => 4245.06,usd=>0, eur=>0 
рокер - uah => 4245,usd=>0, eur=>0 
А-94 - uah => 3995.38,usd=>0, eur=>0 
айс - uah => -3888,usd=>0, eur=>0 
пит грн приходы - uah => -3170.56,usd=>0, eur=>0 
омега катя - uah => 2338.99,usd=>0, eur=>0 
макс грн приходы  - uah => -2256.61,usd=>0, eur=>0 
остров приходы  - uah => 2240.08,usd=>0, eur=>0 
остров - uah => -2240.07,usd=>0, eur=>0 
петек приходы  - uah => -2225.1,usd=>0, eur=>0 
таня оф - uah => -2215,usd=>0, eur=>0 
андр от лены приходы  - uah => 2183,usd=>0, eur=>0 
алла - uah => -2000,usd=>0, eur=>0 
бессм - uah => 1961.99,usd=>0, eur=>0 
юра костя - uah => 1956.4,usd=>0, eur=>0 
назар - uah => 1747,usd=>0, eur=>0 
сигма филиал одесса - uah => 0,usd=>-1735, eur=>0 
руслан станки приходы  - uah => -1578.83,usd=>0, eur=>0 
аа приходы  - uah => 1455.05,usd=>0, eur=>0 
олег док - uah => 1348.74,usd=>0, eur=>0 
южком - uah => 0,usd=>1291.12, eur=>0.01 
казино - uah => -1183,usd=>0, eur=>0 
зара - uah => 0,usd=>0, eur=>-1090 
гума - uah => 1089.16,usd=>0, eur=>0 
володарского - uah => -1089,usd=>0, eur=>0 
бт - uah => -978,usd=>0, eur=>0 
стрелки - uah => 968.09,usd=>0, eur=>0 
лайт - uah => 804.16,usd=>0, eur=>0 
инициатива - uah => 712.870000000003,usd=>0, eur=>0 
мирон - uah => -699.31,usd=>0, eur=>0 
интер - uah => -586.199999999999,usd=>0, eur=>0 
Рузанна - uah => 440,usd=>-50, eur=>0 
секрет лиля - uah => -438.83,usd=>0.01, eur=>0 
строй - uah => 346.73,usd=>0, eur=>0 
валентин нвс приходы  - uah => 334,usd=>0, eur=>0 
ленч расчет - uah => -243,usd=>0, eur=>0 
рост  - uah => 234,usd=>0, eur=>0 
ширшова - uah => 200,usd=>0, eur=>0 
попов приходы  - uah => 177.88,usd=>0, eur=>0 
гума приходы  - uah => 168.829999999998,usd=>0, eur=>0 
вова - uah => 156.799999999999,usd=>0, eur=>0 
медлайн - uah => 0.159999999999854,usd=>150.01, eur=>0 
ашки - uah => -130.5,usd=>0, eur=>0 
лифш приходы  - uah => -119.52,usd=>0, eur=>0 
универсалцентр - uah => 82.5,usd=>0, eur=>0 
три к - uah => 32.79,usd=>0, eur=>0 
ае приходы  - uah => 18.72,usd=>0, eur=>0 
вистас - uah => -18.5599999999999,usd=>0, eur=>0 
гарик - uah => 11.5,usd=>0, eur=>0 
назар вал - uah => 0,usd=>-6.64, eur=>0 
руслан станки - uah => -2.1,usd=>0, eur=>0 
боря проф - uah => -1.24,usd=>0, eur=>0 
ввп - uah => 0.81,usd=>0, eur=>0 
мегалит - uah => -0.5,usd=>0, eur=>0 
химинвест - uah => 0.5,usd=>0, eur=>0 
никос - uah => 0.430000000000291,usd=>0, eur=>0 
игорь павл - uah => -0.370000000002619,usd=>0, eur=>0 
ира спектр - uah => -0.319999999999993,usd=>0, eur=>0 
андр вип - uah => -0.119999999995343,usd=>0, eur=>0 
ае - uah => -0.110000000000001,usd=>0, eur=>0 
 - uah => 0,usd=>0, eur=>0 
юг стекло - uah => 0,usd=>0, eur=>0 
киевляне сверка 08-09 - uah => 0,usd=>0, eur=>0 
сергей приходы  - uah => 0,usd=>0, eur=>0 
вест рома приходы - uah => 0,usd=>0, eur=>0 
мпк приходы  - uah => 0,usd=>0, eur=>0 
сережа тимур - uah => 0,usd=>0, eur=>0 
вектор приходы  - uah => 0,usd=>0, eur=>0 
ден приходы  - uah => 0,usd=>0, eur=>0 
олег кид - uah => 0,usd=>0, eur=>0 
света фобос - uah => 0,usd=>0, eur=>0 
толик приходы  - uah => 0,usd=>0, eur=>0 
филипс расч - uah => 0,usd=>0, eur=>0 
ратуш приходы - uah => 0,usd=>0, eur=>0 
гараж - uah => 0,usd=>0, eur=>0 
плюс юн лен - uah => 0,usd=>0, eur=>0 
розин приходы  - uah => 0,usd=>0, eur=>0 
москва денис - uah => 0,usd=>0, eur=>0 
амр приходы - uah => 0,usd=>0, eur=>0 
гуфм основная приходы  - uah => 0,usd=>0, eur=>0 
витал залог - uah => 0,usd=>0, eur=>0 
света верона - uah => 0,usd=>0, eur=>0 
ленчик приходы  - uah => 0,usd=>0, eur=>0 
птичка вал сверено - uah => 0,usd=>0, eur=>0 
Сигма тур - uah => 0,usd=>0, eur=>0 
накопитель - uah => 0,usd=>0, eur=>0 
мирон приходы  - uah => 0,usd=>0, eur=>0 
неп приходы  - uah => 0,usd=>0, eur=>0 
птичка приходы  - uah => 0,usd=>0, eur=>0 
лиля - uah => 0,usd=>0, eur=>0 
инициатива 06,11 - uah => 0,usd=>0, eur=>0 
нбу дима - uah => 0,usd=>0, eur=>0 
земля король - uah => 0,usd=>0, eur=>0 
тоша приходы  - uah => 0,usd=>0, eur=>0 
крым филиал - uah => 0,usd=>0, eur=>0 
гок - uah => 0,usd=>0, eur=>0 
валютка нерасчит - uah => 0,usd=>0, eur=>0 
нал - uah => 0,usd=>0, eur=>0 
рампа приходы  - uah => 0,usd=>0, eur=>0 
олег приходы  - uah => 0,usd=>0, eur=>0 
приват приходы  - uah => 0,usd=>0, eur=>0 
квартира ильича - uah => 0,usd=>0, eur=>0 
регионы - uah => 0,usd=>0, eur=>0 
донецк сверено03,09-16,09 приходы  - uah => 0,usd=>0, eur=>0 
киев стройка - uah => 0,usd=>0, eur=>0 
кредит семичевская - uah => 0,usd=>0, eur=>0 
володя ол приходы  - uah => 0,usd=>0, eur=>0 
полис приходы  - uah => 0,usd=>0, eur=>0 
готель - uah => 0,usd=>0, eur=>0 
киса приходы  - uah => 0,usd=>0, eur=>0 
клуб приходы  - uah => 0,usd=>0, eur=>0 
Влада - uah => 0,usd=>0, eur=>0 
паша пушк - uah => 0,usd=>0, eur=>0 
растения приходы - uah => 0,usd=>0, eur=>0 
приват нефть приходы - uah => 0,usd=>0, eur=>0 
света кучер сверено - uah => 0,usd=>0, eur=>0 
евгений приходы  - uah => 0,usd=>0, eur=>0 
лиля приходы  - uah => 0,usd=>0, eur=>0 
сирко 33 - uah => 0,usd=>0, eur=>0 
птичка сверки - uah => 0,usd=>0, eur=>0 
симферопольская ремонт - uah => 0,usd=>0, eur=>0 
питстоп - uah => 0,usd=>0, eur=>0 
транзит до 22,10 - uah => 0,usd=>0, eur=>0 
ленч расчет приходы  - uah => 0,usd=>0, eur=>0 
рост экспо - uah => 0,usd=>0, eur=>0 
бульвар славы - uah => 0,usd=>0, eur=>0 
ес приходы  - uah => 0,usd=>0, eur=>0 
радуга приходы  - uah => 0,usd=>0, eur=>0 
илона кредит приходы  - uah => 0,usd=>0, eur=>0 
Наташа литье приходы  - uah => 0,usd=>0, eur=>0 
серега - uah => 0,usd=>0, eur=>0 
прк залог - uah => 0,usd=>0, eur=>0 
гена союз приходы - uah => 0,usd=>0, eur=>0 
лиля сверено на01,08 приходы  - uah => 0,usd=>0, eur=>0 
аким приходы  - uah => 0,usd=>0, eur=>0 
монет приходы  - uah => 0,usd=>0, eur=>0 
чоп приходы  - uah => 0,usd=>0, eur=>0 
цветы питомник приходы  - uah => 0,usd=>0, eur=>0 
технотраст - uah => 0,usd=>0, eur=>0 
фастов - uah => 0,usd=>0, eur=>0 
мосейчук - uah => 0,usd=>0, eur=>0 
глеб жора - uah => 0,usd=>0, eur=>0 
андрей укио - uah => 0,usd=>0, eur=>0 
андр моск расчет приходы  - uah => 0,usd=>0, eur=>0 
правда - uah => 0,usd=>0, eur=>0 
Андрей кеш приходы  - uah => 0,usd=>0, eur=>0 
король старый приходы  - uah => 0,usd=>0, eur=>0 
бондар - uah => 0,usd=>0, eur=>0 
фсб транзит - uah => 0,usd=>0, eur=>0 
андр фобос приходы  - uah => 0,usd=>0, eur=>0 
подшипник - uah => 0,usd=>0, eur=>0 
приват скеля приходы  - uah => 0,usd=>0, eur=>0 
вася латвия - uah => 0,usd=>0, eur=>0 
крым ресторан - uah => 0,usd=>0, eur=>0 
филин сверен - uah => 0,usd=>0, eur=>0 
илона кредит - uah => 0,usd=>0, eur=>0 
виноград приходы  - uah => 0,usd=>0, eur=>0 
таня орион - uah => 0,usd=>0, eur=>0 
союз приходы  - uah => 0,usd=>0, eur=>0 
синэнергия - uah => 0,usd=>0, eur=>0 
Влада приходы  - uah => 0,usd=>0, eur=>0 
магнезит - uah => 0,usd=>0, eur=>0 
митра приходы  - uah => 0,usd=>0, eur=>0 
ден - uah => 0,usd=>0, eur=>0 
южком приходы  - uah => 0,usd=>0, eur=>0 
филиал одесса - uah => 0,usd=>0, eur=>0 
яровой кредит - uah => 0,usd=>0, eur=>0 
стельмах приходы  - uah => 0,usd=>0, eur=>0 
юра домино - uah => 0,usd=>0, eur=>0 
стас кредит - uah => 0,usd=>0, eur=>0 
короленко - uah => 0,usd=>0, eur=>0 
птичка грн приходы  - uah => 0,usd=>0, eur=>0 
димон сигареты - uah => 0,usd=>0, eur=>0 
нетканные материалы - uah => 0,usd=>0, eur=>0 
сер усат мерс - uah => 0,usd=>0, eur=>0 
хонда - uah => 0,usd=>0, eur=>0 
прк схема приходы  - uah => 0,usd=>0, eur=>0 
мпк - uah => 0,usd=>0, eur=>0 
Миша РИГА приходы - uah => 0,usd=>0, eur=>0 
эксперт - uah => 0,usd=>0, eur=>0 
перещепино - uah => 0,usd=>0, eur=>0 
андрей харьков приходы - uah => 0,usd=>0, eur=>0 
св сверено приходы  - uah => 0,usd=>0, eur=>0 
фагор - uah => 0,usd=>0, eur=>0 
валер запорож приходы  - uah => 0,usd=>0, eur=>0 
вал слава приходы  - uah => 0,usd=>0, eur=>0 
миша вал до 15,06,09 - uah => 0,usd=>0, eur=>0 
ссстельмах - uah => 0,usd=>0, eur=>0 
сергей лифты приходы  - uah => 0,usd=>0, eur=>0 
дима восток приходы  - uah => 0,usd=>0, eur=>0 
хвт - uah => 0,usd=>0, eur=>0 
касса корректировка - uah => 0,usd=>0, eur=>0 
ссстельмах приходы  - uah => 0,usd=>0, eur=>0 
лаборатория - uah => 0,usd=>0, eur=>0 
сат приходы - uah => 0,usd=>0, eur=>0 
филипка грн стар приходы  - uah => 0,usd=>0, eur=>0 
Акустика - uah => 0,usd=>0, eur=>0 
ал1 приходы  - uah => 0,usd=>0, eur=>0 
гриша навигатор - uah => 0,usd=>0, eur=>0 
автоцентр2 - uah => 0,usd=>0, eur=>0 
толик - uah => 0,usd=>0, eur=>0 
гена вена приходы  - uah => 0,usd=>0, eur=>0 
андрон сверен - uah => 0,usd=>0, eur=>0 
никос приходы  - uah => 0,usd=>0, eur=>0 
сер усат мерс приходы  - uah => 0,usd=>0, eur=>0 
армада аня - uah => 0,usd=>0, eur=>0 
дайвинг приходы  - uah => 0,usd=>0, eur=>0 
олег аудит - uah => 0,usd=>0, eur=>0 
алюмаш - uah => 0,usd=>0, eur=>0 
ливадия - uah => 0,usd=>0, eur=>0 
зяблик - uah => 0,usd=>0, eur=>0 
генаарут приходы  - uah => 0,usd=>0, eur=>0 
филин сверено 17,06-29,07 - uah => 0,usd=>0, eur=>0 
морк вал - uah => 0,usd=>0, eur=>0 
сер ив кредит - uah => 0,usd=>0, eur=>0 
андр моск приходы  - uah => 0,usd=>0, eur=>0 
серега приходы  - uah => 0,usd=>0, eur=>0 
рокер приходы  - uah => 0,usd=>0, eur=>0 
краз - uah => 0,usd=>0, eur=>0 
стас уголь приходы  - uah => 0,usd=>0, eur=>0 
самс приходы  - uah => 0,usd=>0, eur=>0 
ворон приходы  - uah => 0,usd=>0, eur=>0 
валентина приходы  - uah => 0,usd=>0, eur=>0 
сущ залог приходы  - uah => 0,usd=>0, eur=>0 
водоканал - uah => 0,usd=>0, eur=>0 
донецк сверено приходы  - uah => 0,usd=>0, eur=>0 
днепропромстроймонтаж приходы  - uah => 0,usd=>0, eur=>0 
ворон - uah => 0,usd=>0, eur=>0 
паша пушк приходы  - uah => 0,usd=>0, eur=>0 
столяров - uah => 0,usd=>0, eur=>0 
пустая - uah => 0,usd=>0, eur=>0 
мандрык 47 - uah => 0,usd=>0, eur=>0 
рокер титан приходы  - uah => 0,usd=>0, eur=>0 
радионов - uah => 0,usd=>0, eur=>0 
овен приходы  - uah => 0,usd=>0, eur=>0 
алиот - uah => 0,usd=>0, eur=>0 
зуй - uah => 0,usd=>0, eur=>0 
стилтр приходы  - uah => 0,usd=>0, eur=>0 
старов расч - uah => 0,usd=>0, eur=>0 
Саша Донецк - uah => 0,usd=>0, eur=>0 
конго приходы  - uah => 0,usd=>0, eur=>0 
Андрей кеш - uah => 0,usd=>0, eur=>0 
вад приходы  - uah => 0,usd=>0, eur=>0 
красула - uah => 0,usd=>0, eur=>0 
курсовая разница. - uah => 0,usd=>0, eur=>0 
валентина - uah => 0,usd=>0, eur=>0 
торговцы - uah => 0,usd=>0, eur=>0 
павел приходы  - uah => 0,usd=>0, eur=>0 
лизинг - uah => 0,usd=>0, eur=>0 
андр моск расчет - uah => 0,usd=>0, eur=>0 
фоменко женя - uah => 0,usd=>0, eur=>0 
старов - uah => 0,usd=>0, eur=>0 
крым земля - uah => 0,usd=>0, eur=>0 
пиф сертификаты фсб - uah => 0,usd=>0, eur=>0 
вестас - uah => 0,usd=>0, eur=>0 
женя расчет приходы  - uah => 0,usd=>0, eur=>0 
прк приходы  - uah => 0,usd=>0, eur=>0 
аля алла приходы  - uah => 0,usd=>0, eur=>0 
автопилот - uah => 0,usd=>0, eur=>0 
отправки филиал - uah => 0,usd=>0, eur=>0 
агрохим соленое - uah => 0,usd=>0, eur=>0 
европродукт - uah => 0,usd=>0, eur=>0 
евросоюз - uah => 0,usd=>0, eur=>0 
филин сверено 09,09, - uah => 0,usd=>0, eur=>0 
филипская глеб - uah => 0,usd=>0, eur=>0 
оранж вал - uah => 0,usd=>0, eur=>0 
валю транзит - uah => 0,usd=>0, eur=>0 
андр вип приходы  - uah => 0,usd=>0, eur=>0 
москва денис приходы  - uah => 0,usd=>0, eur=>0 
кск приходы  - uah => 0,usd=>0, eur=>0 
нал киев приходы  - uah => 0,usd=>0, eur=>0 
нал киев - uah => 0,usd=>0, eur=>0 
слава - uah => 0,usd=>0, eur=>0 
к маркса 99 - uah => 0,usd=>0, eur=>0 
вика витя долг приходы  - uah => 0,usd=>0, eur=>0 
зеленая поляна - uah => 0,usd=>0, eur=>0 
стас уголь - uah => 0,usd=>0, eur=>0 
прк залог приходы  - uah => 0,usd=>0, eur=>0 
кофейня - uah => 0,usd=>0, eur=>0 
константин - uah => 0,usd=>0, eur=>0 
аля алла - uah => 0,usd=>0, eur=>0 
транзиты до 15,07 - uah => 0,usd=>0, eur=>0 
юн лен - uah => 0,usd=>0, eur=>0 
филипская глеб приходы  - uah => 0,usd=>0, eur=>0 
наталья григорьевна - uah => 0,usd=>0, eur=>0 
киф конкорд - uah => 0,usd=>0, eur=>0 
томаты приходы  - uah => 0,usd=>0, eur=>0 
володя ол - uah => 0,usd=>0, eur=>0 
ира спектр приходы  - uah => 0,usd=>0, eur=>0 
эксклюзив приходы  - uah => 0,usd=>0, eur=>0 
полт вал - uah => 0,usd=>0, eur=>0 
мери приходы  - uah => 0,usd=>0, eur=>0 
днепр филиал - uah => 0,usd=>0, eur=>0 
киса - uah => 0,usd=>0, eur=>0 
ширшова приходы - uah => 0,usd=>0, eur=>0 
макс карп приходы  - uah => 0,usd=>0, eur=>0 
дайвинг - uah => 0,usd=>0, eur=>0 
егор - uah => 0,usd=>0, eur=>0 
участок 5сот - uah => 0,usd=>0, eur=>0 
лира залог - uah => 0,usd=>0, eur=>0 
аня вад приходы  - uah => 0,usd=>0, eur=>0 
сергей охрана - uah => 0,usd=>0, eur=>0 
зельдин - uah => 0,usd=>0, eur=>0 
фомин - uah => 0,usd=>0, eur=>0 
наташа поти - uah => 0,usd=>0, eur=>0 
свечкина - uah => 0,usd=>0, eur=>0 
сер ив расчет - uah => 0,usd=>0, eur=>0 
мазут приходы  - uah => 0,usd=>0, eur=>0 
прокоп - uah => 0,usd=>0, eur=>0 
алла дон 27,12-25,02 - uah => 0,usd=>0, eur=>0 
индустрия - uah => 0,usd=>0, eur=>0 
митра нерасч - uah => 0,usd=>0, eur=>0 
дима москва - uah => 0,usd=>0, eur=>0 
вишня - uah => 0,usd=>0, eur=>0 
эдик от зельд грн приходы  - uah => 0,usd=>0, eur=>0 
литвинчев кредит - uah => 0,usd=>0, eur=>0 
володарка расход - uah => 0,usd=>0, eur=>0 
мальва - uah => 0,usd=>0, eur=>0 
мережи - uah => 0,usd=>0, eur=>0 
стас топливо - uah => 0,usd=>0, eur=>0 
челси приходы  - uah => 0,usd=>0, eur=>0 
магнезит приходы  - uah => 0,usd=>0, eur=>0 
стандарт приходы  - uah => 0,usd=>0, eur=>0 
триум приходы - uah => 0,usd=>0, eur=>0 
света кучер сверено приходы  - uah => 0,usd=>0, eur=>0 
лиокс лиля приходы - uah => 0,usd=>0, eur=>0 
тандем приходы  - uah => 0,usd=>0, eur=>0 
лливш - uah => 0,usd=>0, eur=>0 
приват - uah => 0,usd=>0, eur=>0 
юра костя приходы  - uah => 0,usd=>0, eur=>0 
бизнес куа - uah => 0,usd=>0, eur=>0 
мик вал - uah => 0,usd=>0, eur=>0 
оранж вал приходы  - uah => 0,usd=>0, eur=>0 
андр вип сверено - uah => 0,usd=>0, eur=>0 
черная - uah => 0,usd=>0, eur=>0 
денис 2008 - uah => 0,usd=>0, eur=>0 
киевляне - uah => 0,usd=>0, eur=>0 
цветы прибыль - uah => 0,usd=>0, eur=>0 
восход приходы  - uah => 0,usd=>0, eur=>0 
кудинов квартира - uah => 0,usd=>0, eur=>0 
димон приходы  - uah => 0,usd=>0, eur=>0 
надя - uah => 0,usd=>0, eur=>0 
покрытие кредит - uah => 0,usd=>0, eur=>0 
мик приходы  - uah => 0,usd=>0, eur=>0 
навигаторы приходы - uah => 0,usd=>0, eur=>0 
юм - uah => 0,usd=>0, eur=>0 
топ - uah => 0,usd=>0, eur=>0 
вороновер - uah => 0,usd=>0, eur=>0 
обрий потери - uah => 0,usd=>0, eur=>0 
брита - uah => 0,usd=>0, eur=>0 
фомин вал приходы  - uah => 0,usd=>0, eur=>0 
апельсин - uah => 0,usd=>0, eur=>0 
ашки приходы  - uah => 0,usd=>0, eur=>0 
фокстрот приходы  - uah => 0,usd=>0, eur=>0 
валера киев - uah => 0,usd=>0, eur=>0 
снегурка - uah => 0,usd=>0, eur=>0 
кварт димитрова - uah => 0,usd=>0, eur=>0 
вн - uah => 0,usd=>0, eur=>0 
игорь транзит приходы  - uah => 0,usd=>0, eur=>0 
пароход - uah => 0,usd=>0, eur=>0 
макс бмб приходы  - uah => 0,usd=>0, eur=>0 
Электрогаз - uah => 0,usd=>0, eur=>0 
влад дск - uah => 0,usd=>0, eur=>0 
лиокс лиля - uah => 0,usd=>0, eur=>0 
старый фомин - uah => 0,usd=>0, eur=>0 
андрон приходы - uah => 0,usd=>0, eur=>0 
кермо - uah => 0,usd=>0, eur=>0 
миша грн до 10,09 - uah => 0,usd=>0, eur=>0 
птичка грн сверка приходы  - uah => 0,usd=>0, eur=>0 
наташа овсиен приходы - uah => 0,usd=>0, eur=>0 
евдок приходы  - uah => 0,usd=>0, eur=>0 
угол ленина - uah => 0,usd=>0, eur=>0 
морк приходы  - uah => 0,usd=>0, eur=>0 
глюк - uah => 0,usd=>0, eur=>0 
звезда - uah => 0,usd=>0, eur=>0 
проплата нерасчитан - uah => 0,usd=>0, eur=>0 
виля - uah => 0,usd=>0, eur=>0 
алал - uah => 0,usd=>0, eur=>0 
комп макс - uah => 0,usd=>0, eur=>0 
пхт приходы  - uah => 0,usd=>0, eur=>0 
артем не свер приходы  - uah => 0,usd=>0, eur=>0 
женя киев приходы  - uah => 0,usd=>0, eur=>0 
приват нефть - uah => 0,usd=>0, eur=>0 
вал платежки - uah => 0,usd=>0, eur=>0 
оля касса приходы  - uah => 0,usd=>0, eur=>0 
азов 1 - uah => 0,usd=>0, eur=>0 
вектор - uah => 0,usd=>0, eur=>0 
схема акии фсб - uah => 0,usd=>0, eur=>0 
гена союз - uah => 0,usd=>0, eur=>0 
гимнастика - uah => 0,usd=>0, eur=>0 
фсб долг - uah => 0,usd=>0, eur=>0 
трег - uah => 0,usd=>0, eur=>0 
гуфм основная - uah => 0,usd=>0, eur=>0 
схема физ страх - uah => 0,usd=>0, eur=>0 
прод - uah => 0,usd=>0, eur=>0 
артем услуги - uah => 0,usd=>0, eur=>0 
нал киев 29,12,07-15,07,08 - uah => 0,usd=>0, eur=>0 
земля литий - uah => 0,usd=>0, eur=>0 
